Date,Open,High,Low,Close,Volume,Adj Close
2014-11-14,67.20,68.00,67.05,67.95,2117600,67.41
2014-11-13,67.70,68.00,67.25,68.00,2024500,67.46
2014-11-12,67.70,67.75,67.05,67.35,2233500,66.81
2014-11-11,67.85,67.85,67.20,67.60,2550200,67.06
2014-11-10,67.90,68.00,67.00,67.35,2724000,66.81
2014-11-07,67.25,67.25,66.55,67.15,2620900,66.62
2014-11-06,67.05,67.20,66.50,67.10,1602000,66.57
2014-11-05,66.55,67.00,66.55,67.00,3668100,66.47
2014-11-04,66.60,66.95,66.20,66.60,2207400,66.07
2014-11-03,66.95,66.95,66.40,66.50,1214400,65.97
2014-10-31,66.60,66.80,66.20,66.75,3731300,66.22
2014-10-30,66.60,66.60,66.15,66.45,2030600,65.92
2014-10-29,66.25,66.50,65.85,66.40,3628100,65.87
2014-10-28,64.85,66.25,64.85,66.15,2959300,65.62
2014-10-27,65.50,65.50,64.85,65.05,1212300,64.53
2014-10-24,65.25,65.40,64.50,65.35,1740400,64.83
2014-10-23,65.65,65.90,65.25,65.45,1501000,64.93
2014-10-22,65.70,66.00,65.35,65.95,2650900,65.43
2014-10-21,65.20,65.60,64.70,65.55,1854600,65.03
2014-10-20,65.20,65.50,65.05,65.20,2136500,64.68
2014-10-17,64.95,65.25,64.60,64.95,2180100,64.43
2014-10-16,64.80,65.45,64.65,65.25,2971000,64.73
2014-10-15,64.95,65.30,64.50,65.20,2543800,64.68
2014-10-14,64.40,64.95,64.25,64.70,2555900,64.19
2014-10-13,63.45,64.90,63.45,64.85,2803100,64.33
2014-10-10,64.05,64.30,63.55,63.70,1722000,63.19
2014-10-09,64.15,64.60,63.85,64.50,2269100,63.99
2014-10-08,64.10,64.10,63.60,63.90,2692900,63.39
2014-10-07,63.20,64.10,63.00,64.05,4058800,63.54
2014-10-06,62.35,63.25,62.00,62.70,3656700,62.20
2014-10-03,61.90,63.25,61.80,62.60,5583500,62.10
2014-10-02,62.35,62.35,62.35,62.35,000,61.85
2014-10-01,62.35,62.35,62.35,62.35,000,61.85
2014-09-30,62.75,62.95,62.05,62.35,4036000,61.85
2014-09-29,63.50,63.60,62.70,62.75,3429900,62.25
2014-09-26,63.15,64.10,63.10,63.85,1682400,63.34
2014-09-25,63.60,63.95,63.10,63.15,2151400,62.65
2014-09-24,63.60,64.00,63.50,63.65,1746000,63.14
2014-09-23,64.05,64.10,63.60,63.80,1557900,63.29
2014-09-22,63.60,63.85,63.40,63.60,2573800,63.09
2014-09-19,64.75,64.85,63.85,63.90,3269000,63.39
2014-09-18,65.00,65.15,64.35,64.50,2018700,63.99
2014-09-17,64.95,65.25,64.70,64.75,2873200,64.24
2014-09-16,64.50,64.75,64.20,64.55,1229400,64.04
2014-09-15,64.95,65.20,64.40,64.45,1515700,63.94
2014-09-12,65.25,65.25,64.70,64.95,1411400,64.43
2014-09-11,65.80,65.85,64.90,65.00,1976400,64.48
2014-09-10,65.85,66.15,65.30,65.40,2346800,64.88
2014-09-09,65.90,65.90,65.90,65.90,000,65.38
2014-09-08,66.70,66.75,65.85,65.90,1669100,65.38
2014-09-05,66.80,66.80,66.20,66.40,1600200,65.87
2014-09-04,67.00,67.00,66.20,66.80,2012200,66.27
2014-09-03,66.35,67.35,65.90,67.20,3594800,66.67
2014-09-02,66.00,66.30,65.80,66.25,1348600,65.72
2014-09-01,66.00,66.85,65.80,66.30,2416400,65.24
2014-08-29,66.35,66.50,65.50,65.60,3537500,64.55
2014-08-28,66.70,67.00,66.20,66.35,2649700,65.29
2014-08-27,67.50,67.50,66.85,67.00,1703800,65.93
2014-08-26,67.30,67.70,66.95,67.35,1725900,66.27
2014-08-25,67.50,67.75,66.90,67.50,1698100,66.42
2014-08-22,67.40,67.80,67.35,67.75,2542300,66.66
2014-08-21,67.10,67.50,66.45,67.45,2818700,66.37
2014-08-20,67.00,67.50,66.70,67.45,5138800,66.37
2014-08-19,65.90,66.75,65.55,66.70,4044900,65.63
2014-08-18,65.10,65.80,65.10,65.70,2163600,64.65
2014-08-15,65.45,65.50,65.05,65.35,2593800,64.30
2014-08-14,64.70,65.60,64.40,65.45,4564200,64.40
2014-08-13,64.65,64.75,64.20,64.70,1356900,63.66
2014-08-12,64.25,64.60,64.20,64.50,1092000,63.47
2014-08-11,64.65,64.70,64.30,64.45,1029400,63.42
2014-08-08,64.20,64.80,64.20,64.35,2177200,63.32
2014-08-07,63.90,64.50,63.85,64.40,1902800,63.37
2014-08-06,63.65,64.30,63.65,64.10,1957800,63.07
2014-08-05,63.70,63.95,63.55,63.65,2226200,62.63
2014-08-04,64.45,64.50,63.80,63.85,1802100,62.83
2014-08-01,64.20,64.65,64.10,64.20,1878600,63.17
2014-07-31,64.30,64.70,64.30,64.55,3002300,63.52
2014-07-30,64.00,64.50,63.85,64.45,3713000,63.42
2014-07-29,64.00,64.10,63.65,64.00,1955400,62.97
2014-07-28,63.90,64.00,63.65,63.80,1071900,62.78
2014-07-25,63.90,64.15,63.65,64.00,3653900,62.97
2014-07-24,63.50,63.90,63.50,63.80,1225000,62.78
2014-07-23,63.90,63.95,63.35,63.90,1618200,62.88
2014-07-22,63.80,63.95,63.45,63.85,1779900,62.83
2014-07-21,63.80,63.90,63.40,63.50,882800,62.48
2014-07-18,63.45,63.90,63.20,63.85,1700600,62.83
2014-07-17,63.95,63.95,63.45,63.70,707600,62.68
2014-07-16,63.60,63.80,63.45,63.80,845400,62.78
2014-07-15,63.80,63.80,63.40,63.75,1049100,62.73
2014-07-14,63.60,63.90,63.40,63.75,1003300,62.73
2014-07-11,63.15,63.90,63.15,63.55,2569800,62.53
2014-07-10,63.00,63.30,62.85,63.00,954400,61.99
2014-07-09,63.90,63.90,62.90,63.00,1516600,61.99
2014-07-08,63.80,63.85,63.55,63.80,1438800,62.78
2014-07-07,63.40,63.70,63.25,63.70,894900,62.68
2014-07-04,63.65,63.85,63.35,63.40,1014100,62.38
2014-07-03,64.00,64.00,63.45,63.75,1889300,62.73
2014-07-02,63.90,63.90,63.35,63.70,3687500,62.68
2014-07-01,63.60,63.60,63.60,63.60,000,62.58
2014-06-30,63.90,63.90,62.90,63.60,2470500,62.58
2014-06-27,63.40,63.90,63.40,63.90,1709100,62.88
2014-06-26,63.25,63.95,63.05,63.85,1803600,62.83
2014-06-25,62.75,63.10,62.70,63.00,1472700,61.99
