Date,Open,High,Low,Close,Volume,Adj Close
2014-11-14,56.10,56.10,55.60,55.80,1769900,55.80
2014-11-13,55.95,56.25,55.70,55.95,2963500,55.95
2014-11-12,55.85,56.20,55.40,55.95,3050800,55.95
2014-11-11,55.55,55.95,55.05,55.90,3536000,55.90
2014-11-10,56.80,56.80,54.60,55.05,3744600,55.05
2014-11-07,55.00,55.60,54.55,55.05,2483000,55.05
2014-11-06,55.25,55.50,54.95,55.00,2601700,55.00
2014-11-05,55.40,55.55,54.90,55.20,3198400,55.20
2014-11-04,55.75,56.20,55.00,55.30,6716700,55.30
2014-11-03,57.05,57.30,56.00,56.35,3828400,56.35
2014-10-31,56.85,57.45,56.60,57.30,3425800,57.30
2014-10-30,57.00,57.10,55.90,56.40,3569900,56.40
2014-10-29,56.40,57.30,56.10,56.65,3860700,56.65
2014-10-28,55.00,56.15,54.90,56.00,3050200,56.00
2014-10-27,56.30,56.30,55.00,55.30,2501600,55.30
2014-10-24,56.25,56.25,54.90,55.75,3403200,55.75
2014-10-23,56.30,56.45,55.70,56.25,1787900,56.25
2014-10-22,55.85,56.30,55.30,56.20,3618800,56.20
2014-10-21,55.85,55.90,54.80,55.05,3535400,55.05
2014-10-20,56.00,56.15,55.05,55.20,1962600,55.20
2014-10-17,55.00,55.70,54.95,55.35,3223300,55.35
2014-10-16,55.25,55.30,54.40,54.85,6204200,54.85
2014-10-15,56.00,56.15,55.15,55.25,4507000,55.25
2014-10-14,55.20,56.85,55.05,55.25,3448000,55.25
2014-10-13,54.80,55.75,54.35,55.35,4391400,55.35
2014-10-10,55.50,55.80,55.05,55.40,4739400,55.40
2014-10-09,56.50,56.70,56.00,56.25,2825500,56.25
2014-10-08,56.00,56.60,55.70,56.15,1793700,56.15
2014-10-07,56.95,56.95,56.05,56.65,3697400,56.65
2014-10-06,54.85,56.75,54.60,56.70,11155200,56.70
2014-10-03,53.85,55.75,53.30,55.35,12380300,55.35
2014-10-02,55.20,55.20,55.20,55.20,000,55.20
2014-10-01,55.20,55.20,55.20,55.20,000,55.20
2014-09-30,54.75,55.30,53.90,55.20,12529900,55.20
2014-09-29,56.85,56.85,53.80,55.20,13497700,55.20
2014-09-26,57.10,57.55,56.60,57.35,2110300,57.35
2014-09-25,58.45,58.80,57.50,57.55,2645700,57.55
2014-09-24,57.65,58.30,57.65,57.90,2742100,57.90
2014-09-23,58.00,58.35,57.60,57.90,4859900,57.90
2014-09-22,58.80,59.10,58.25,58.35,4675800,58.35
2014-09-19,60.40,60.85,58.85,59.15,6205400,59.15
2014-09-18,60.80,61.15,59.85,60.00,3568800,60.00
2014-09-17,60.30,61.50,60.25,60.50,4891400,60.50
2014-09-16,60.50,60.50,59.20,59.95,4157700,59.95
2014-09-15,61.00,61.50,60.55,60.55,3477800,60.55
2014-09-12,61.65,62.20,61.00,61.70,3372000,61.15
2014-09-11,61.80,62.50,61.60,62.10,3317400,61.55
2014-09-10,61.85,62.60,61.25,61.65,3572700,61.10
2014-09-09,62.85,62.85,62.85,62.85,000,62.29
2014-09-08,62.80,63.00,61.70,62.85,2746500,62.29
2014-09-05,62.65,62.80,62.20,62.40,3114100,61.84
2014-09-04,62.50,63.35,61.70,62.90,4364600,62.34
2014-09-03,61.35,62.45,60.60,62.30,4248800,61.74
2014-09-02,60.45,61.40,60.20,60.80,2693400,60.26
2014-09-01,60.50,61.05,59.80,60.05,3132400,59.51
2014-08-29,60.85,61.25,60.40,60.60,2594400,60.06
2014-08-28,61.45,61.65,60.70,60.95,3388600,60.41
2014-08-27,62.05,62.20,60.85,61.25,2361100,60.70
2014-08-26,62.10,62.25,61.50,62.05,2342800,61.50
2014-08-25,61.85,62.25,61.30,62.10,2170800,61.55
2014-08-22,61.20,62.25,61.05,61.95,5356600,61.40
2014-08-21,61.35,61.50,60.40,61.20,4177600,60.65
2014-08-20,60.40,61.55,59.80,61.45,6589100,60.90
2014-08-19,59.35,60.20,58.80,59.80,4560400,59.27
2014-08-18,59.20,59.75,58.65,59.20,3547200,58.67
2014-08-15,59.20,59.50,58.70,59.25,3206800,58.72
2014-08-14,59.10,59.25,58.30,58.50,6393600,57.98
2014-08-13,60.55,60.55,58.80,59.25,6444100,58.72
2014-08-12,60.00,60.50,59.55,59.90,5213400,59.37
2014-08-11,59.35,61.10,59.35,60.15,6755800,59.61
2014-08-08,59.50,60.00,59.10,59.35,4101700,58.82
2014-08-07,59.65,60.95,59.45,60.00,4119000,59.47
2014-08-06,59.45,60.15,59.10,59.95,2648700,59.42
2014-08-05,61.45,61.60,59.60,60.00,5797000,59.47
2014-08-04,61.05,61.65,60.85,61.45,3737600,60.90
2014-08-01,61.45,61.85,61.00,61.15,4881500,60.60
2014-07-31,62.65,63.30,62.00,62.20,4409200,61.65
2014-07-30,61.05,63.45,60.50,62.75,9113200,62.19
2014-07-29,61.15,61.15,60.10,60.70,4475000,60.16
2014-07-28,60.80,61.30,60.40,60.95,2908200,60.41
2014-07-25,60.30,61.10,60.00,60.75,3400000,60.21
2014-07-24,59.40,61.15,59.00,61.00,6570800,60.46
2014-07-23,58.45,59.90,58.20,59.75,7160200,59.22
2014-07-22,57.30,58.25,57.00,58.00,7527100,57.48
2014-07-21,57.20,57.30,56.45,56.75,2340400,56.24
2014-07-18,56.55,57.25,56.40,57.20,2082900,56.69
2014-07-17,57.25,57.40,56.80,56.90,2189500,56.39
2014-07-16,56.80,57.35,56.65,57.25,4062200,56.74
2014-07-15,56.30,56.90,56.20,56.35,2907700,55.85
2014-07-14,56.95,57.35,56.05,56.35,1763900,55.85
2014-07-11,56.00,56.85,56.00,56.60,3100800,56.10
2014-07-10,56.50,56.50,55.95,56.00,1552300,55.50
2014-07-09,57.00,57.00,55.70,56.05,4201100,55.55
2014-07-08,56.30,57.00,56.30,56.95,2925900,56.44
2014-07-07,56.20,56.95,56.10,56.95,3860600,56.44
2014-07-04,56.45,56.80,55.75,55.90,5034500,55.40
2014-07-03,56.65,56.95,56.30,56.65,2675100,56.15
2014-07-02,56.80,57.30,56.15,56.45,7491900,55.95
2014-07-01,55.80,55.80,55.80,55.80,000,55.30
2014-06-30,55.80,56.75,54.90,55.80,4543100,55.30
2014-06-27,56.40,56.80,56.00,56.15,3608400,55.65
2014-06-26,54.80,56.00,54.80,55.90,4816700,55.40
2014-06-25,55.60,55.65,54.70,55.20,3977700,54.71
2014-06-24,55.70,55.90,55.10,55.45,3001900,54.96
2014-06-23,56.10,56.85,55.60,55.70,6279700,55.20
2014-06-20,55.90,56.80,55.70,56.35,4171800,55.85
2014-06-19,56.45,56.60,55.60,56.05,7922000,55.55
2014-06-18,56.50,56.85,56.30,56.40,3220400,55.90
2014-06-17,57.30,57.40,56.25,56.90,3607900,56.39
2014-06-16,57.30,57.70,57.00,57.65,5047300,57.14
2014-06-13,55.70,57.90,55.20,57.55,9024000,57.04
2014-06-12,54.90,55.95,54.70,55.80,3514900,55.30
2014-06-11,55.80,56.05,54.60,56.00,4721800,55.50
2014-06-10,56.00,56.40,55.25,56.10,5420400,55.60
2014-06-09,55.80,56.10,55.20,55.85,2599900,55.35
2014-06-06,55.25,55.80,55.05,55.25,5524000,54.76
2014-06-05,54.95,55.45,54.20,54.70,6246900,54.21
2014-06-04,54.45,54.45,53.75,53.95,7948800,53.47
2014-06-03,55.75,55.90,54.35,54.45,7693800,53.96
2014-06-02,54.90,54.90,54.90,54.90,000,54.41
2014-05-30,54.20,55.25,54.20,54.90,6351300,54.41
2014-05-29,53.30,54.10,53.10,54.00,3738700,53.52
2014-05-28,52.90,53.90,52.60,53.55,6825300,53.07
2014-05-27,54.30,54.30,52.35,53.15,16256400,52.68
2014-05-26,55.70,56.50,54.90,55.05,4981500,54.56
2014-05-23,55.25,57.10,55.00,56.70,10659800,55.01
2014-05-22,54.10,55.25,53.80,55.25,5245100,53.60
2014-05-21,53.80,54.15,53.25,54.00,8400300,52.39
2014-05-20,53.05,54.50,53.05,53.95,6839000,52.34
2014-05-19,54.00,54.25,53.00,53.90,8246800,52.29
2014-05-16,54.25,55.15,54.25,54.90,7762900,53.26
2014-05-15,54.60,54.85,54.10,54.70,5479300,53.07
2014-05-14,53.50,54.65,53.25,54.25,9766100,52.63
2014-05-13,53.50,53.55,52.60,53.50,5870800,51.90
2014-05-12,50.60,53.25,50.10,52.75,8106100,51.17
2014-05-09,50.75,51.35,50.15,51.05,4628000,49.52
2014-05-08,50.85,51.55,50.50,50.70,11562300,49.18
2014-05-07,51.90,51.90,50.40,51.35,11673100,49.82
2014-05-06,52.65,52.65,52.65,52.65,000,51.08
2014-05-05,54.65,54.75,52.00,52.65,6531600,51.08
2014-05-02,54.45,54.50,53.65,54.35,3197100,52.73
2014-05-01,54.25,54.25,54.25,54.25,000,52.63
2014-04-30,54.30,54.50,53.70,54.25,5558800,52.63
2014-04-29,54.15,54.65,53.20,54.45,5017500,52.82
2014-04-28,53.50,54.15,52.75,54.05,4857400,52.43
2014-04-25,54.10,54.60,53.80,53.90,4351000,52.29
2014-04-24,54.95,55.15,54.05,54.50,5860800,52.87
2014-04-23,57.00,57.00,55.00,55.40,4773000,53.74
2014-04-22,56.00,56.80,54.85,56.45,4484400,54.76
2014-04-21,56.25,56.25,56.25,56.25,000,54.57
2014-04-18,56.25,56.25,56.25,56.25,000,54.57
2014-04-17,56.65,56.70,55.60,56.25,1447700,54.57
2014-04-16,56.60,57.00,55.60,55.70,3666100,54.04
2014-04-15,58.25,58.25,56.05,56.30,5232900,54.62
2014-04-14,56.45,58.55,56.45,57.75,9783700,56.02
2014-04-11,56.25,57.00,56.25,56.90,6324200,55.20
2014-04-10,56.20,56.40,55.25,55.90,5170900,54.23
2014-04-09,55.65,56.75,55.40,56.15,6722000,54.47
2014-04-08,53.75,55.60,53.50,55.50,6033300,53.84
2014-04-07,54.20,54.80,53.80,54.55,4714500,52.92
2014-04-04,53.95,54.50,53.60,54.30,2918400,52.68
2014-04-03,54.10,54.85,54.00,54.45,6267800,52.82
2014-04-02,53.40,54.75,52.20,54.10,12383100,52.48
2014-04-01,50.90,52.00,50.10,51.85,10726900,50.30
2014-03-31,50.00,50.05,49.20,49.60,8210000,48.12
2014-03-28,49.50,50.30,48.70,50.20,9284700,48.70
2014-03-27,49.50,50.30,49.10,50.05,6455100,48.55
2014-03-26,50.30,50.75,48.40,48.60,9145200,47.15
2014-03-25,48.00,50.65,47.80,50.25,7706100,48.75
2014-03-24,47.80,48.90,47.65,48.75,9496200,47.29
2014-03-21,47.90,47.90,46.35,47.20,10227800,45.79
2014-03-20,48.90,49.10,47.30,47.45,10631600,46.03
2014-03-19,50.30,50.30,49.35,49.40,4902900,47.92
2014-03-18,49.80,49.90,48.55,49.50,4441900,48.02
2014-03-17,49.65,49.75,48.20,49.40,7391100,47.92
2014-03-14,49.60,50.65,49.60,49.85,6431100,48.36
2014-03-13,50.20,51.25,50.10,50.20,7990700,48.70
2014-03-12,51.10,51.70,50.15,50.35,8199000,48.85
2014-03-11,51.65,52.90,51.65,52.25,3534300,50.69
2014-03-10,52.35,52.60,51.15,52.00,6689400,50.45
2014-03-07,52.45,53.50,52.30,52.90,3762700,51.32
2014-03-06,52.60,53.70,52.50,52.75,2347900,51.17
2014-03-05,54.10,54.20,52.55,52.70,2857400,51.12
2014-03-04,53.05,54.05,53.05,53.80,2736000,52.19
2014-03-03,53.75,54.50,52.85,53.35,3309900,51.76
2014-02-28,53.25,54.50,53.00,54.15,4343900,52.53
2014-02-27,52.55,53.25,52.10,53.15,5353200,51.56
2014-02-26,53.50,53.55,52.40,52.80,4300900,51.22
2014-02-25,53.70,54.15,52.50,53.50,4017600,51.90
2014-02-24,55.85,55.85,53.20,53.60,8616700,52.00
2014-02-21,56.30,56.50,55.20,55.65,3966600,53.99
2014-02-20,55.20,56.50,54.85,55.90,5015700,54.23
2014-02-19,55.35,56.30,55.25,55.75,5207200,54.08
2014-02-18,54.95,55.30,54.50,55.20,1724200,53.55
2014-02-17,55.25,55.55,54.65,54.85,3004400,53.21
2014-02-14,54.95,55.25,54.20,54.50,3007100,52.87
2014-02-13,55.00,55.30,54.00,54.55,3566800,52.92
2014-02-12,52.30,55.70,52.20,55.30,8271800,53.65
