Date,Open,High,Low,Close,Volume,Adj Close
2014-11-06,78.30,78.45,78.05,78.10,5292500,78.10
2014-11-05,78.15,78.15,77.80,77.90,10402100,77.90
2014-11-04,78.10,78.80,77.80,78.25,13728300,78.25
2014-11-03,79.00,79.05,78.60,78.65,8105900,78.65
2014-10-31,78.45,79.15,78.15,78.85,13380700,78.85
2014-10-30,78.60,78.80,78.20,78.45,11818300,78.45
2014-10-29,78.45,79.20,78.45,79.05,17032000,79.05
2014-10-28,78.05,79.00,78.05,78.85,16243300,78.85
2014-10-27,78.25,78.40,77.70,78.30,15694200,78.30
2014-10-24,78.00,78.10,77.60,77.95,7611700,77.95
2014-10-23,77.60,78.05,77.50,78.00,9956000,78.00
2014-10-22,78.35,78.80,78.05,78.40,13552400,78.30
2014-10-21,77.50,78.05,77.50,77.75,12729700,77.65
2014-10-20,78.20,78.25,77.45,77.55,17481400,77.45
2014-10-17,77.30,78.00,77.30,77.90,27568100,77.80
2014-10-16,77.40,78.00,77.20,77.65,27082100,77.55
2014-10-15,78.30,78.90,78.00,78.60,9950700,78.50
2014-10-14,78.45,79.50,78.35,78.60,11495700,78.50
2014-10-13,77.55,78.30,77.50,78.20,27974300,78.10
2014-10-10,78.35,78.80,78.25,78.40,24027400,78.30
2014-10-09,79.50,80.15,79.45,79.80,13621500,79.70
2014-10-08,78.75,79.20,78.65,79.15,11623300,79.05
2014-10-07,78.70,79.50,78.70,79.05,21013400,78.95
2014-10-06,78.50,79.85,78.25,79.10,29309100,79.00
2014-10-03,77.95,79.25,77.60,78.65,40402500,78.55
2014-10-02,79.55,79.55,79.55,79.55,000,79.45
2014-10-01,79.55,79.55,79.55,79.55,000,79.45
2014-09-30,80.20,80.25,79.50,79.55,29939200,79.45
2014-09-29,81.60,81.75,80.60,80.70,26721200,80.60
2014-09-26,82.00,82.25,81.90,82.15,11224800,82.05
2014-09-25,82.60,82.70,82.00,82.20,8514400,82.10
2014-09-24,82.70,82.95,82.25,82.30,11266100,82.20
2014-09-23,83.20,83.50,82.80,82.85,7576200,82.74
2014-09-22,83.50,83.75,83.15,83.55,10803800,83.44
