Date,Open,High,Low,Close,Volume,Adj Close
2014-11-14,131.20,131.50,130.60,131.20,1135000,131.20
2014-11-13,131.10,131.40,130.70,130.90,1405800,130.90
2014-11-12,131.10,131.20,130.30,130.90,1588700,130.90
2014-11-11,130.30,131.10,129.50,130.00,1636600,130.00
2014-11-10,132.30,133.00,130.10,130.40,1098300,130.40
2014-11-07,130.60,131.50,129.60,130.00,842000,130.00
2014-11-06,130.90,131.30,129.70,131.00,439300,131.00
2014-11-05,131.50,131.50,130.20,130.90,675700,130.90
2014-11-04,130.30,131.50,129.60,131.10,960300,131.10
2014-11-03,131.30,131.70,130.10,130.60,478300,130.60
2014-10-31,131.30,131.50,130.30,131.40,1059100,131.40
2014-10-30,131.00,131.00,130.00,130.90,891200,130.90
2014-10-29,130.30,131.00,129.30,130.70,1350300,130.70
2014-10-28,129.20,130.00,128.20,130.00,928200,130.00
2014-10-27,130.00,130.00,128.00,128.70,357300,128.70
2014-10-24,129.60,129.60,128.50,129.20,523400,129.20
2014-10-23,129.70,129.80,128.50,129.50,914800,129.50
2014-10-22,129.20,129.90,128.50,129.90,997100,129.90
2014-10-21,127.30,128.50,127.30,128.10,712500,128.10
2014-10-20,128.60,129.00,127.70,128.00,762400,128.00
2014-10-17,127.90,129.10,127.80,128.60,879800,127.50
2014-10-16,129.00,129.00,127.50,127.80,852100,126.71
2014-10-15,128.10,129.00,127.50,128.40,500900,127.30
2014-10-14,127.20,129.00,126.90,128.00,819600,126.91
2014-10-13,126.50,128.90,126.00,128.50,964100,127.40
2014-10-10,127.50,128.00,126.30,126.60,1208800,125.52
2014-10-09,127.50,128.80,127.20,128.40,893200,127.30
2014-10-08,127.10,127.50,126.70,127.40,962400,126.31
2014-10-07,126.50,128.00,126.20,127.90,1206400,126.81
2014-10-06,125.90,127.50,125.00,126.20,1707800,125.12
2014-10-03,125.00,126.40,123.60,125.90,2504000,124.82
2014-10-02,124.70,124.70,124.70,124.70,000,123.63
2014-10-01,124.70,124.70,124.70,124.70,000,123.63
2014-09-30,125.60,125.80,123.20,124.70,2474700,123.63
2014-09-29,128.00,128.20,125.20,125.20,2332300,124.13
2014-09-26,128.00,128.50,128.00,128.30,726900,127.20
2014-09-25,130.00,130.00,128.00,128.30,1019900,127.20
2014-09-24,129.40,129.40,128.40,128.50,875000,127.40
2014-09-23,129.80,129.90,128.40,128.50,1022000,127.40
2014-09-22,129.30,129.70,128.50,129.50,557200,128.39
2014-09-19,130.50,130.50,129.00,129.90,1375300,128.79
2014-09-18,130.10,130.50,129.60,129.90,892000,128.79
2014-09-17,130.50,131.40,130.10,130.50,1335500,129.38
2014-09-16,130.40,131.20,130.30,130.90,538100,129.78
2014-09-15,130.70,131.40,130.10,130.60,701100,129.48
2014-09-12,131.80,131.80,130.10,130.70,595100,129.58
2014-09-11,130.90,131.60,130.50,131.50,491200,130.38
2014-09-10,133.00,133.00,131.00,131.10,1376800,129.98
2014-09-09,131.40,131.40,131.40,131.40,000,130.28
2014-09-08,131.80,131.80,131.00,131.40,715500,130.28
2014-09-05,131.90,132.20,131.70,131.90,691900,130.77
2014-09-04,132.00,132.30,131.40,132.10,1077500,130.97
2014-09-03,130.50,132.00,130.30,132.00,1156200,130.87
2014-09-02,130.20,131.50,130.20,131.10,953600,129.98
2014-09-01,130.70,132.00,130.20,130.50,511100,129.38
2014-08-29,132.00,132.00,130.20,130.90,1244000,129.78
2014-08-28,132.40,132.40,131.20,131.50,642700,130.38
2014-08-27,132.50,132.90,131.80,132.20,636300,131.07
2014-08-26,132.70,133.00,132.40,132.60,611400,131.47
2014-08-25,132.90,132.90,132.20,132.70,885800,131.56
2014-08-22,132.60,132.90,131.90,132.60,718500,131.47
2014-08-21,132.50,132.90,131.80,132.50,1203700,131.37
2014-08-20,132.20,132.30,131.20,132.20,1618700,131.07
2014-08-19,130.20,131.80,129.60,131.80,963800,130.67
2014-08-18,130.60,130.60,129.20,129.80,696100,128.69
2014-08-15,131.50,132.00,131.10,131.50,772200,129.28
2014-08-14,131.90,131.90,130.60,131.50,662000,129.28
2014-08-13,131.60,131.60,130.60,131.30,801500,129.09
2014-08-12,131.80,132.00,130.80,131.50,1155800,129.28
2014-08-11,130.60,131.50,130.50,131.40,660500,129.19
2014-08-08,130.00,131.40,130.00,130.40,929500,128.20
2014-08-07,129.80,131.00,129.70,130.90,825800,128.69
2014-08-06,129.00,129.90,129.00,129.80,1093300,127.61
2014-08-05,130.80,131.20,129.20,129.60,1735300,127.42
2014-08-04,131.80,131.90,130.50,131.50,831100,129.28
2014-08-01,131.20,131.80,130.70,131.10,976300,128.89
2014-07-31,131.00,132.00,131.00,131.80,1113000,129.58
2014-07-30,130.30,131.90,130.30,131.90,2174300,129.68
2014-07-29,130.00,130.60,129.40,130.20,943900,128.01
2014-07-28,130.00,131.00,129.90,130.00,1032700,127.81
2014-07-25,130.00,130.20,129.00,130.20,1512500,128.01
2014-07-24,130.00,130.00,129.40,130.00,1531200,127.81
