Date,Open,High,Low,Close,Volume,Adj Close
2014-11-06,81,81.01,78.9,79,5292500,78.1
2014-11-05,82,87.01,81.99,87,10402100,77.9
2014-11-04,81,86.01,80.99,86,13728300,78.25
2014-11-03,79.99,85.01,79.98,85,8105900,78.65
2014-10-31,78.45,79.15,78.15,78.85,13380700,78.85
2014-10-30,78.6,78.8,78.2,78.45,11818300,78.45
2014-10-29,78.45,79.2,78.45,79.05,17032000,79.05
2014-10-28,78.05,79,78.05,78.85,16243300,78.85
2014-10-27,78.25,78.4,77.7,78.3,15694200,78.3
2014-10-24,78,78.1,77.6,77.95,7611700,77.95
2014-10-23,77.6,78.05,77.5,78,9956000,78
2014-10-22,78.35,78.8,78.05,78.4,13552400,78.3
2014-10-21,77.5,78.05,77.5,77.75,12729700,77.65
2014-10-20,78.2,78.25,77.45,77.55,17481400,77.45
2014-10-17,79,81.01,78.99,81,27568100,77.8
2014-10-16,78,78.01,73.9,74,27082100,77.55
2014-10-15,79,79.01,74.9,75,9950700,78.5
2014-10-14,80,80.01,75.9,76,11495700,78.5
2014-10-13,77.55,78.3,77.5,78.2,27974300,78.1
2014-10-10,78.35,78.8,78.25,78.4,24027400,78.3
2014-10-09,79.5,80.15,79.45,79.8,13621500,79.7
2014-10-08,78.75,79.2,78.65,79.15,11623300,79.05
2014-10-07,78.7,79.5,78.7,79.05,21013400,78.95
2014-10-06,78.5,79.85,78.25,79.1,29309100,79
2014-10-03,77.95,79.25,77.6,78.65,40402500,78.55
2014-10-02,79.55,79.55,79.55,79.55,0,79.45
2014-10-01,79.55,79.55,79.55,79.55,0,79.45
2014-09-30,80.2,80.25,79.5,79.55,29939200,79.45
2014-09-29,81.6,81.75,80.6,80.7,26721200,80.6
2014-09-26,82,82.25,81.9,82.15,11224800,82.05
2014-09-25,82.6,82.7,82,82.2,8514400,82.1
2014-09-24,82.7,82.95,82.25,82.3,11266100,82.2
2014-09-23,83.2,83.5,82.8,82.85,7576200,82.74
2014-09-22,83.5,83.75,83.15,83.55,10803800,83.44
2014-09-19,84.05,84.4,83.65,84.2,39088900,84.09
2014-09-18,83.15,83.15,82.3,82.8,11414000,82.69
2014-09-17,82.9,83.2,82.7,82.9,16272000,82.79
2014-09-16,82.5,82.85,82.25,82.35,5831900,82.24
2014-09-15,82.2,82.65,82,82.5,6942400,82.39
2014-09-12,82.45,82.65,82.1,82.6,4759400,82.49
2014-09-11,82.75,82.9,82.3,82.65,7992100,82.54
2014-09-10,82.75,82.75,82.1,82.25,12290400,82.15
2014-09-09,82.95,82.95,82.95,82.95,0,82.84
2014-09-08,83.7,83.7,82.6,82.95,12096000,82.84
2014-09-05,83.45,84.1,83.25,83.6,31094000,83.49
2014-09-04,83.4,83.65,82.8,83.3,12423400,83.19
2014-09-03,82.8,83.75,82.55,83.65,16558600,83.54
2014-09-02,83.1,83.4,82.85,83.2,11379500,83.09
2014-09-01,83.5,84,83.45,83.6,9239300,83.49
2014-08-29,83.55,83.85,83.1,83.65,16540800,83.54
2014-08-28,83.25,83.5,82.8,83.2,14719400,83.09
2014-08-27,83.7,83.7,82.8,82.85,10343400,82.74
2014-08-26,83.5,83.7,83.35,83.4,8458600,83.29
2014-08-25,83.05,83.8,82.65,83.7,12093100,83.59
2014-08-22,82.45,83.25,82.45,83.2,12187500,83.09
2014-08-21,82.65,82.8,82.3,82.45,10007200,82.34
2014-08-20,82.65,83,82.6,82.8,10174300,82.69
2014-08-19,83.4,83.85,83.1,83.75,12750200,83.54
2014-08-18,83.4,83.6,82.7,83.5,14655200,83.29
2014-08-15,84,84.15,83.75,83.9,26053200,83.69
2014-08-14,82.6,83.2,82.55,82.85,10671300,82.65
2014-08-13,82,82.65,81.7,82.6,8381500,82.4
2014-08-12,81.45,81.85,81.25,81.85,14053200,81.65
2014-08-11,82.5,82.5,81.95,82.2,9431300,82
2014-08-08,82,82.9,81.85,81.95,10722900,81.75
2014-08-07,82.7,82.7,82.2,82.4,11472800,82.2
2014-08-06,82.8,83.45,82.45,83.3,10575100,83.09
2014-08-05,82.6,83.65,82.4,83.55,17877100,83.34
2014-08-04,82.1,82.5,81.9,82.05,16860800,81.85
2014-08-01,83.4,83.4,82.55,82.75,18751300,82.55
2014-07-31,83.9,84.05,83.45,83.5,21137900,83.29
2014-07-30,83.5,83.9,83.25,83.6,28036700,83.39
2014-07-29,82.95,83.3,82.7,83.2,27201600,82.99
2014-07-28,81.85,82.5,81.75,82.25,24016800,82.05
2014-07-25,81.4,81.8,81.1,81.7,35220100,81.5
2014-07-24,80.1,80.8,80,80.75,18698700,80.55
2014-07-23,80.1,80.3,79.85,80.1,13442100,79.9
2014-07-22,79.05,80.2,79,80.1,12381800,79.9
2014-07-21,79.35,79.45,79.05,79.1,8305500,78.9
2014-07-18,79.1,79.5,78.8,79.35,6959500,79.15
2014-07-17,80,80.05,79.7,79.8,7111100,79.6
2014-07-16,79.55,79.8,79.15,79.6,5877200,79.4
2014-07-15,79.5,79.5,78.95,79.25,6555600,79.05
2014-07-14,78.9,79.2,78.6,79.15,7136100,78.95
2014-07-11,78.5,78.65,78.05,78.6,21322300,78.41
2014-07-10,79,79.4,78.8,78.9,8900600,78.71
2014-07-09,79.55,79.55,78.95,79,12995100,78.81
2014-07-08,79.8,80.15,79.75,79.95,6667900,79.75
2014-07-07,80.8,80.8,80.15,80.35,4859200,80.15
2014-07-04,80.6,80.65,80.35,80.4,6344500,80.2
2014-07-03,79.95,80.35,79.9,80.2,5764600,80
2014-07-02,79,80.05,78.85,80,22173200,79.8
2014-07-01,78.6,78.6,78.6,78.6,0,78.41
2014-06-30,79,79,78,78.6,19753200,78.41
2014-06-27,78.8,79.25,78.8,79.05,24757300,78.85
2014-06-26,79.6,79.95,79.6,79.7,14698600,79.5
2014-06-25,79.8,80.05,79.5,79.65,8712400,79.45
2014-06-24,80.15,80.15,79.7,79.95,9504700,79.75
2014-06-23,80.5,81.1,79.7,79.8,19428200,79.6
2014-06-20,80.65,81.1,80.65,80.8,6915800,80.6
2014-06-19,80.6,81,80.6,80.9,6456800,80.7
2014-06-18,80.4,81.15,80.4,80.9,7225900,80.7
2014-06-17,80.85,81.15,80.6,80.8,6986600,80.6
2014-06-16,81.2,81.4,80.85,81.15,5032500,80.95
2014-06-13,81,81.8,80.85,81.35,6264900,81.15
2014-06-12,80.4,81.2,80.4,81.15,5480400,80.95
2014-06-11,81,81.3,80.85,80.9,7671700,80.7
2014-06-09,81.5,81.7,81.2,81.45,6475900,81.25
2014-06-06,81.05,81.45,80.65,81.15,21448000,80.95
2014-06-05,81.1,81.25,80.65,80.85,7981200,80.65
2014-06-04,81.2,81.7,81.1,81.2,8904000,81
2014-06-03,81.25,81.7,81.2,81.5,7797300,81.3
2014-06-02,81.75,81.75,81.75,81.75,0,81.55
2014-05-30,81.5,82,81.3,81.75,8815600,81.55
2014-05-29,81.2,82,81.2,81.6,8978100,81.4
2014-05-28,81.1,82.15,80.85,81.45,15420700,81.25
2014-05-27,80.9,81.5,80.9,81.3,9038100,81.1
2014-05-26,80.5,81.2,80,80.9,5863700,80.7
2014-05-23,80.75,80.85,80.3,80.6,7018700,80.4
2014-05-22,80.8,81.6,80.6,80.7,6802200,80.5
2014-05-21,81,81.2,80.45,80.8,9774200,80.6
2014-05-20,82.1,82.65,82.05,82.45,18759800,82.15
2014-05-19,82.05,82.2,81.6,82,21392300,81.7
2014-05-16,81.1,81.4,80.8,81.35,21714400,81.05
2014-05-15,79.8,80.6,79.75,80.55,12401500,80.25
2014-05-14,79.4,80.15,79.2,80.1,12839600,79.81
2014-05-13,79.4,79.45,78.7,79.15,9185600,78.86
2014-05-12,78.3,79.4,77.55,78.85,18185400,78.56
2014-05-09,77.85,78,77.25,77.9,7516000,77.61
2014-05-08,78.2,78.75,77.75,78.25,10339600,77.96
2014-05-07,79.15,79.2,78.3,78.4,20361700,78.11
2014-05-06,78.25,78.25,78.25,78.25,0,77.96
2014-05-05,78.95,79.4,78,78.25,11938100,77.96
2014-05-02,79.1,79.3,78.9,79.1,8886500,78.81
2014-05-01,78.65,78.65,78.65,78.65,0,78.36
2014-04-30,79.3,79.5,78.5,78.65,14643000,78.36
2014-04-29,78.9,79.8,78.6,79.6,12814400,79.31
2014-04-28,78.5,78.8,78.35,78.7,10200200,78.41
2014-04-25,79.7,79.7,78.65,78.75,17274700,78.46
2014-04-24,79.75,80.15,79.55,79.9,5016600,79.61
2014-04-23,80.35,80.35,79.8,80,8572900,79.71
2014-04-22,80.5,80.85,80.25,80.55,5501800,80.25
2014-04-21,80.25,80.25,80.25,80.25,0,79.95
2014-04-18,80.25,80.25,80.25,80.25,0,79.95
2014-04-17,80.6,80.6,79.95,80.25,5534200,79.95
2014-04-16,80.3,80.8,80.15,80.35,12170300,80.05
2014-04-15,80.2,80.25,79.8,79.85,10822800,79.56
2014-04-14,80.1,80.55,80.05,80.35,14517600,80.05
2014-04-11,81,81.7,80.3,80.8,27484200,80.5
2014-04-10,79.75,80.95,79.75,80.8,25973500,80.5
2014-04-09,78.85,79.75,78.7,79.6,17939200,79.31
2014-04-08,78.25,78.8,78,78.7,12186600,78.41
2014-04-07,78.75,79,78.1,78.5,8051100,78.21
2014-04-04,78.5,79.3,78.5,79.15,8604900,78.86
2014-04-03,79.3,79.55,78.95,79.05,10329500,78.76
2014-04-02,79,79.4,78.95,79.15,11417800,78.86
2014-04-01,78.4,78.95,78.35,78.75,8560400,78.46
2014-03-31,79,79,78.4,78.55,6314900,78.26
2014-03-28,78.5,78.85,78.35,78.55,9685800,78.26
2014-03-27,78,78.5,78,78.25,9697000,77.96
2014-03-26,78.4,78.75,78.2,78.25,8353200,77.96
2014-03-25,77.8,78.1,77.6,77.8,10398800,77.51
2014-03-24,77.3,77.95,76.9,77.65,14164100,77.36
2014-03-21,75.95,76.65,75.95,76.55,13632200,76.27
2014-03-20,76.25,76.3,75.75,75.95,17686200,75.67
2014-03-19,77,77.2,76.75,76.8,18330400,76.52
2014-03-18,77.4,77.45,77.05,77.15,15943000,76.87
2014-03-17,77.45,77.55,77.05,77.5,9819000,77.21
2014-03-14,77.6,78,77.45,77.7,14675000,77.41
2014-03-13,77.9,78.2,77.85,78,25367700,77.71
2014-03-12,78.7,78.85,78.15,78.6,23429800,78.31
2014-03-11,80.05,80.4,79.85,80.35,14679500,80.05
2014-03-10,80.3,80.65,80.3,80.45,14066400,80.15
2014-03-07,81.4,81.45,81.05,81.3,15463600,81
2014-03-06,81.15,81.75,81.05,81.45,8641800,81.15
2014-03-05,81.7,81.7,81.15,81.4,6101400,81.1
2014-03-04,80.85,81.8,80.6,81.5,11205200,81.2
2014-03-03,81.4,81.7,81,81.05,13018100,80.75
2014-02-28,82.15,82.45,81.8,82.25,10805800,81.95
2014-02-27,81.2,82.4,81.2,81.9,19688000,81.6
2014-02-26,81.2,81.65,81,81.15,18937400,80.85
2014-02-25,82.2,82.3,81.6,81.65,31186200,81.35
2014-02-24,84.4,84.4,83.75,83.9,10549200,83.59
2014-02-21,84.1,84.45,83.9,84.35,17275200,84.04
2014-02-20,84.25,84.45,83.2,83.45,20320700,83.14
2014-02-19,84.25,84.9,84.1,84.85,28371500,84.54
2014-02-18,83.55,83.55,83.1,83.35,23824000,83.04
2014-02-17,82.8,82.85,82.55,82.7,11246800,82.4
2014-02-14,82.45,82.5,81.9,82.1,16175900,81.8
2014-02-13,82,82,81.2,81.35,17349300,81.05
2014-02-12,80.7,81.3,80.6,81,23042800,80.7
2014-02-11,79.05,79.8,79.05,79.7,18579700,79.41
2014-02-10,79.85,79.85,79.15,79.2,18100300,78.91
2014-02-07,79.55,79.75,79.1,79.3,21880900,79.01
2014-02-06,78.65,79,78.5,78.75,21833300,78.46
2014-02-05,79.15,79.3,78.55,78.65,22843500,78.36
2014-02-04,78.85,79.35,78.7,79.15,27202700,78.86
2014-02-03,80.95,80.95,80.95,80.95,0,80.65
2014-01-31,80.95,80.95,80.95,80.95,0,80.65
2014-01-30,80.7,81.05,80.6,80.95,15167500,80.65
2014-01-29,81.6,82.05,81.6,81.95,14223600,81.65
